course_unit_code,course_degree_code,course_unit_name,course_unit_academic_year,degree_course,degree_course_track,number_of_ects_credits_allocated,type_of_assessment,course_unit_english_denomination,department_of_reference,mandatory_attendance,language_of_instruction,branch,single_course_unit,optional_course_unit,course_unit_for_erasmus_students,course_unit_lecturer,course_unit_organization_period,course_unit_organization_year,course_unit_organization_teaching_method,course_unit_organization_type_of_hours,course_unit_organization_credits,course_unit_organization_teachinghours,course_unit_organization_hours_ofindividual_study,course_unit_organization_shifts,start_of_activities,end_of_activities,course_unit_url,prerequisites,target_skills_and_knowledge,examination_methods,assessment_criteria,course_unit_contents,planned_learning_activities_and_teaching_methods,additional_notes_about_suggested_reading,textbooks_(and_optional_supplementary_readings),notes
SCQ0093639,SC2598,ARTIFICIAL INTELLIGENCE,2024/25,"Second cycle degree in COMPUTER SCIENCE SC2598, Degree course structure A.Y. 2021/22, A.Y. 2024/25",Not mentioned.,6.0,Mark,ARTIFICIAL INTELLIGENCE,Department of Mathematics,No,English,PADOVA,The Course unit can be attended under the option Single Course unit attendance,The Course unit can be chosen as Optional Course unit,The course unit can be attended by Erasmus+ and other exchange students,ALESSANDRO SPERDUTI,First semester,1st Year,face to face teaching,Lecture,5.0,40,85.0,No turn,30/09/2024,18/01/2025,https://en.didattica.unipd.it/off/2024/LM/SC/SC2598/000ZZ/SCQ0093639/N0,"It is opportune to know basic notions of Probability Theory, Programming, and Algorithms.","The course will present the main techniques of some of the most important approaches in the Artificial Intelligence field for solving difficult problems. In particular, it will present techniques for solving problems by searching, adversarial search,  knowledge representation and manipulation with and without uncertainty, decision making, and basics of machine learning, constraint-based systems, computer visione, natural language processing.It is required the development of a small optional project for a single student or a group of students.","The student must overcome a written exam. Moreover, the student has the option to develop a project.","The evaluation of the student verifies the knowledge of the student of the basic notions introduced in the course and his/her analysis capabilities. The evaluation of the optional project considers the capability of the student of finding a specific case study, and his/her ability to develop autonomously all the project activities to tackle with the case study.","The structure and the topics of the course will be described in the following: - Introduction, Motivation, Intelligent Agents Architectures;- Problem Resolution and basics of Constraint-based Systems;- Adversarial Search;- Knowledge Processing by Propositional and First-order Logic;- Dealing with Uncertainty and Probabilistic Reasoning; - Basics of Machine Learning;- Basics of Computer Vision;- Basics of Natural Language Processing.","The course will have frontal lessons, or online in the event of a health emergency.",Additional material will be available on the course website.,"Stuart Russell, Peter Norvig, Artificial Intelligence: A modern approach. --: Prentice Hall, 2010.",Not mentioned.
SCP7079405,SC2598,BIOINFORMATICS,2024/25,"Second cycle degree in COMPUTER SCIENCE SC2598, Degree course structure A.Y. 2021/22, A.Y. 2024/25",Not mentioned.,6.0,Mark,BIOINFORMATICS,Department of Mathematics,No,English,PADOVA,The Course unit can be attended under the option Single Course unit attendance,The Course unit can be chosen as Optional Course unit,The course unit can be attended by Erasmus+ and other exchange students,LAURA TREU and GUIDO ZAMPIERI,First semester,1st Year,face to face teaching,Lecture,5.0,40,85.0,No turn,30/09/2024,18/01/2025,https://en.didattica.unipd.it/off/2024/LM/SC/SC2598/000ZZ/SCP7079405/N0,"There are no particular prerequisites other than what it is expected from a master student in computer science. However, a basic knowledge of genetics and molecular biology will help in the understanding of the biological motivations of bioinformatics.The course is in English, therefore the students should have a reasonable command of spoken and written English.","The course is divided in three main parts: the first part is about the relationship between Biology and Information; the second part describes the main algorithms used in bioinformatics for the alignment of sequences and genomic assembly; the third part is about bioinformatic problems related to functional genomics. Furthermore, the course includes practicals in which the students will apply bioinformatic approaches for analyzing genomic data.Taking into consideration the complexity of the subject and in agreement with the Dublin Descriptors, a particular attention will be spent to promote the ability of the students to integrate knowledge, handle complexity, and formulate judgments with incomplete or limited information.",The examination will take place in written mode.,"In their final examination the students should demonstrate a systematic understanding of the field and mastery of the methods of research associated with it. Furthermore, they should be capable of critical analysis, evaluation and synthesis of new and complex ideas, integrating the subjects of this course with other knowledge.","This is a six credits course: five credits will be from lessons while one credit will be from practical activities, either the implementation and of some algorithm or the in-depth investigation of the literature on given arguments.The lessons are divided in three main parts.The first part is an extensive introduction on Biology presented as a scientific field centered on Information. The mechanisms that facilitate the transmission and evolution of biological information is used to introduce some biological problems that require computational approaches and bioinformatics tools.The second part of the course describes the main algorithms used for the alignment of biological sequences, including those designed for “next generation sequencing”. The algorithms used for de novo genomic assembly are also described.Finally, the third part of the course covers several aspects of bioinformatics related to functional genomics, such as gene prediction and annotation, transcriptome analysis, and their integration through computational models of metabolism. The role of Bioinformatics in individual genome analysis and personalized medicine is also discussed.","The course will include lectures and practicals. The teaching activity will be supported by resources made available on the e-learning platform ""Moodle"". These resources include teaching material as well as tools for self-assessment. The motivation behind this implementation is the promotion of an activity of ""blended learning"" that would allow the student to learn, at least in part through delivery of content and instruction via digital and online media. When possible, the ""flipped classroom paradigm"" will be applied, thus reversing the traditional learning environment. Firstly the student learns the topics autonomously, then a thorough discussion will take place in the classroom, among the students and the teacher.An ample selection of assessment questionnaires and exercises is made available on the Moodle platform, both to allow the students to self-assess and to stimulate arguments which will be further discussed in the classroom.",There are no official text books for this course. The students will be encouraged to find the information from multiple sources. Lecture notes and other teaching material will be available on the Moodle e-learning platform.,,Not mentioned.
SCQ1098231,SC2598,COMPUTABILITY,2024/25,"Second cycle degree in COMPUTER SCIENCE SC2598, Degree course structure A.Y. 2021/22, A.Y. 2024/25",Not mentioned.,6.0,Mark,COMPUTABILITY,Department of Mathematics,No,English,PADOVA,The Course unit can be attended under the option Single Course unit attendance,The Course unit can be chosen as Optional Course unit,The course unit can be attended by Erasmus+ and other exchange students,PAOLO BALDAN,First semester,1st Year,face to face teaching,Lecture,6.0,48,102.0,No turn,30/09/2024,18/01/2025,https://en.didattica.unipd.it/off/2024/LM/SC/SC2598/000ZZ/SCQ1098231/N0,"The course requires some familiarity with basic mathematical concepts such as relations, functions, sets, cardinality, partial orders, principles of induction. There are no propaedeutical courses.","The aim of the course is to guide the student into some classic themes in the theory of computability, completing and deepening the knowledge acquired at undergraduate level. Starting from a mathematical analysis of the intuitive concept of an effective procedure, the class of effectively computable functions is formally introduced, and a theory of undecidability and recursion is developed.",Written and oral exam.,"The written test contains exercises designed to test the student's ability to use concepts and proof techniques, learnt during the course, for the solution of new problems.","The following topics will be developed: - Algorithms and the concept of effective procedure. Register machines (URM). Partial recursive functions. Equivalences between computational models. Universality of computational models. Church's thesis. - Enumeration of computable functions. Existence of non-computable functions: diagonalization techniques. The parameter theorem. Universal programs. - Decidable, undecidable and semidecidable problems. Undecidability of the halting problem. Reduction techniques. Other undecidable problems. - Recursive and recursively enumerable sets. Rice and Rice-Shapiro theorems. - Functionals. Recursive definitions. Partial orderings, monotone functions and fixed points. Recursive functional. Myhill-Sheperdson's theorem. First recursion theorem. Second recursion theorem.",The course consists of lectures and exercises.,"Some notes will be distributed, including exercises for the preparatiob to the exam. The material will be published on the moodle of the course  and at the web page:http://www.math.unipd.it/~baldan/Computability","Nigel Cutland, Computability: An Introduction to Recursive Function Theory. --: Cambridge University Press, 1980.",Not mentioned.
SCQ0093658,SC2598,CRYPTOGRAPHY,2024/25,"Second cycle degree in COMPUTER SCIENCE SC2598, Degree course structure A.Y. 2021/22, A.Y. 2024/25",Not mentioned.,6.0,Mark,CRYPTOGRAPHY,Department of Mathematics,No,English,PADOVA,The Course unit can be attended under the option Single Course unit attendance,The Course unit can be chosen as Optional Course unit,The course unit can be attended by Erasmus+ and other exchange students,CARLO MARICONDA and MAURO CONTI and MAURO MIGLIARDI,First semester,1st Year,face to face teaching,Lecture,5.0,40,85.0,No turn,30/09/2024,18/01/2025,https://en.didattica.unipd.it/off/2024/LM/SC/SC2598/000ZZ/SCQ0093658/N0,"For the first part (Prof. Mariconda; first semester, 6 credits): The topics of the following courses: Algebra (congruences, groups and cyclic groups, finite fields), Calculus (differential and integral calculus, numerical series) both for the BA in Mathematics.For the second part (Prof. Conti in the first semester and Prof. Migliardi in the second semester; 6 credits): OS, Programming.","For the first part (Prof. Mariconda; 6 credits): The main goal of the first part of the course is to give an overview of the theoretical basis of the field in order to allow a critical study of the cryptographic protocols used in many applications (authentication, digital commerce). We will give first the mathematical basic tools (essentially from  elementary and analytic number theory) that are required to understand  modern public-key methods. After this, we will see how to apply this know-how to study and criticize some protocols currently used.The second part is divided in two parts.In the first (Prof. Conti; 3 credits): Students will be able to identify, classify, describe, explain, and correlated the key concepts of cybersecurity attacks and defenses.In the second part (Prof. Migliardi; 3 credits): Assess the risks to which an IT system is exposed,  Explain how an attack works,  Describe, explain and generalize software vulnerabilities, Avoid software pitfalls.","For the first part (Prof. Mariconda; 6 credits): Written exam, homeworks, oral test if needed. For the second part (Prof. Conti and Prof. Migliardi; 6 credits): Written Exam, Homeworks, oral test.","For the first part (Prof. Mariconda; 6 ECTS): Two possible paths are envisioned: for those who attend and study regularly, a bonus is provided based on the outcomes of continuous assessment on individual or group homework to be used in an exam session in the first examination period after the course or in the three partial exams during the course, otherwise the assessment consists solely of the final exam. During the final written exam, the student must answer some questions related to the program covered and solve some exercises demonstrating an understanding of the course topics. The grade represents the final outcome for the teaching of Cryptography.For the second part (Prof. Conti and Prof. Migliardi; 3+3 ECTS): Evaluation of both theoretical competence and operational ability to apply what has been learned to a real case. The grade for students who follow the entire teaching of CYBERSECURITY AND CRYPTOGRAPHY: PRINCIPLES AND PRACTICES is given by the weighted average, in proportion to the ECTS, of the grades from the first part and the second part.","The first part (Prof. Mariconda; 6 ECTS) also serves as the teaching of CRYPTOGRAPHY for the courses ICT FOR INTERNET AND MULTIMEDIA, COMPUTER ENGINEERING, COMPUTER SCIENCE, MATHEMATICS, International Cybersecurity and Cyberintelligence.Basic theoretical facts: Modular arithmetic. Prime numbers. Little Fermat theorem. Chinese remainder theorem. Finite fields: order of an element and primitive roots. Pseudoprimality tests.  Agrawal-Kayal-Saxena's test. RSA method: first description, attacks.  Rabin's method and its connection with the integer factorization. Discrete logarithm methods. How to compute the discrete log in a finite field. Elementary factorization methods. Some remarks on Pomerance's quadratic sieve.  Protocols and algorithms. Fundamental crypto algorithms. Symmetric methods (historical ones, DES, AES) . Asymmetric methods. Attacks. Digital signature. Pseudorandom generators (remarks).   Key exchange, Key exchange in three steps, secret splitting, secret sharing, secret broadcasting, timestamping. Signatures with RSA and discrete log.For the second part (Prof. Conti and Prof. ??; 6 credits):Introduction to Cybersecurity, User Authentication, Access Control, Database Security, Malicious Software, Denial-of-Service Attacks, Intrusion Detection, Firewalls and Intrusion Prevention Systems, Operating System Security, Trusted Computing and Multilevel Security.The execution environment of a program and the vulnerabilities resulting from the threat model of the time. Languages and threat models. Control hijacking: attack. Control hijacking: defense. Security of operating systems and principle of least privilege necessary (and examples of privilege escalation). Sandboxing and interaction with legacy code. Flaw search techniques.","Classroom lectures (if possible); if the pandemic situation will be present, the lectures will be done using the available videoconferencing tools.","For the first part (6 credits) the reference text is Hoffstein  J., Pipher J. e  Silverman J. -An introduction to mathematical cryptography. 2nd ed. Undergraduate Texts in Mathematics. New York, NY: Springer (2014)Other suggested textbooks are:1) A. Languasco, A.Zaccagnini -  Manuale di Crittografia - Hoepli Editore, 2015. (italian).2) N. Koblitz - A Course in Number Theory and Cryptography -Springer, 1994.3) H. Knospe - A Course in Cryptography - American Mathematical Society, 2019.4) R. Crandall, C. Pomerance - Prime numbers: A computational perspective - Springer, 2005. 5) B. Schneier - Applied Cryptography - Wiley, 1994.","Hoffstein J., Pipher J. , Silverman J., An introduction to mathematical cryptography (2nd ed.). New York: Springer, 2014.        for the first part
 

        Pfleeger, Charles P.; Pfleeger, Shari Lawrence, Security in Computing. --: Prentice Hall; 5 edition, 2015.        for the second part


        Wenliang Du, Computer Security: a hands-on approach. --: Create Space Independent Publishing Platform, 1 ed, 2017.        for the second part
 

        Stallings, William; Brown, Lawrie, Computer security principles and practice. Boston [etc.]: Pearson, 2015.        second ed.; for the second part",Not mentioned.
SCQ2101239,SC2598,CYBER PHYSICAL SYSTEMS AND IOT SECURITY,2024/25,"Second cycle degree in COMPUTER SCIENCE SC2598, Degree course structure A.Y. 2021/22, A.Y. 2024/25",Not mentioned.,6.0,Mark,CYBER PHYSICAL SYSTEMS AND IOT SECURITY,Department of Mathematics,No,English,PADOVA,The Course unit can be attended under the option Single Course unit attendance,The Course unit can be chosen as Optional Course unit,The course unit can be attended by Erasmus+ and other exchange students,ALESSANDRO BRIGHENTE,First semester,1st Year,face to face teaching,Lecture,6.0,48,102.0,No turn,30/09/2024,18/01/2025,https://en.didattica.unipd.it/off/2024/LM/SC/SC2598/000ZZ/SCQ2101239/N0,Not mentioned.,Not mentioned.,Not mentioned.,Not mentioned.,Not mentioned.,Not mentioned.,Not mentioned.,Not mentioned.,Not mentioned.
SCQ1098279,SC2598,ECONOMICS AND MANAGEMENT OF INNOVATION,2024/25,"Second cycle degree in COMPUTER SCIENCE SC2598, Degree course structure A.Y. 2021/22, A.Y. 2024/25",Not mentioned.,6.0,Mark,ECONOMICS AND MANAGEMENT OF INNOVATION,Department of Mathematics,No,English,PADOVA,The Course unit can be attended under the option Single Course unit attendance,The Course unit can be chosen as Optional Course unit,The course unit can be attended by Erasmus+ and other exchange students,SILVIA RITA SEDITA and AMIR MAGHSSUDIPOUR,First semester,1st Year,face to face teaching,Lecture,6.0,48,102.0,No turn,30/09/2024,18/01/2025,https://en.didattica.unipd.it/off/2024/LM/SC/SC2598/000ZZ/SCQ1098279/N0,No pre-requirement required,"The course aims to provide the basic knowledge to understand the role of innovation in the capitalist economic process. To this end, we will focus on the importance and role of innovations, especially in economic growth and development processes. We will then examine the creation, dissemination and management process of innovations at the firm level and their role in the play of competition.","The final written test will be a based on open questions and, for attending students, also on their presentations during the course (such presentations are discretionary).",Attending students will be evaluated on the topics dealt with during the lessons and on their presentations on some chosen subject. Their presentations will be on voluntary basis. Non-attending students will be evaluated on the basis of their understanding of the textbook and the articles made available on the moodle platform.,The course aims to address and deepen the following topics:- The role of innovation in the evolution of the capitalistic system- Innovation ecosystems- Sources of innovation- Types of innovation- Innovation and firm strategies- Innovation and competition,"Frontal lessons, interactive discussion on specific topics and students presentation. Handouts and other material will be posted on the Moodle platform (with free access by the student) and they will be considered part of the exam program (and therefore to be studied) together with the indicated texbook.","Handouts and other  material, considered part of the exam program (and therefore to be studied) will be made available on the Moodle platform during the course","Melissa A. Schilling, Strategic Management of Technological Innovation - Seventh edition. New York: McGraw-Hill, 2023.",Not mentioned.
SCQ0089514,SC2598,FORMAL METHODS FOR CYBER-PHYSICAL SYSTEMS,2024/25,"Second cycle degree in COMPUTER SCIENCE SC2598, Degree course structure A.Y. 2021/22, A.Y. 2024/25",Not mentioned.,6.0,Mark,FORMAL METHODS FOR CYBER-PHYSICAL SYSTEMS,Department of Mathematics,No,English,PADOVA,The Course unit can be attended under the option Single Course unit attendance,The Course unit can be chosen as Optional Course unit,The course unit can be attended by Erasmus+ and other exchange students,DAVIDE BRESOLIN and MATTEO ZAVATTERI,First semester,1st Year,face to face teaching,Lecture,6.0,48,102.0,No turn,30/09/2024,18/01/2025,https://en.didattica.unipd.it/off/2024/LM/SC/SC2598/000ZZ/SCQ0089514/N0,Not mentioned.,Not mentioned.,Not mentioned.,Not mentioned.,Not mentioned.,Not mentioned.,Not mentioned.,Not mentioned.,Not mentioned.
SCP6076299,SC2598,FUNCTIONAL LANGUAGES,2024/25,"Second cycle degree in COMPUTER SCIENCE SC2598, Degree course structure A.Y. 2021/22, A.Y. 2024/25",Not mentioned.,6.0,Mark,FUNCTIONAL LANGUAGES,Department of Mathematics,No,English,PADOVA,The Course unit can be attended under the option Single Course unit attendance,The Course unit can be chosen as Optional Course unit,The course unit can be attended by Erasmus+ and other exchange students,FRANCESCO GAVAZZO,First semester,1st Year,face to face teaching,Lecture,6.0,48,102.0,No turn,30/09/2024,18/01/2025,https://en.didattica.unipd.it/off/2024/LM/SC/SC2598/000ZZ/SCP6076299/N0,"Basic knowledge of formal logic and mathematical maturity. Previous experiences with functional languages may help, but are not required.","The course focuses on the mathematical foundation of functional programming, taking (and achieving) an algebraic and symbolic perspective on both computing and programming. Starting from simple, toy languages, the theory of abstract syntax, rewriting, and operational semantics will be introduced, eventually achieving a formal analysis of high-level functional languages.",Homework assignment Oral exam,Oral examination on the theoretical material of the course; programming skills in F# and Haskell will be put to the test as well.Discussion of the project (optional).Discussion of the exercises (optional).,"Part 1:- Introduction to ML and functional languages: let-binding, immutability, lambda abstraction, application- Programming in F#: type inference, currying, pattern matching, tuples, lists- Product types vs sum types: records vs disjoint unions (algebraic types)- Recursion: simple algorithms over lists and recursive data types- Parametric polymorphism: advanced code reuse, parametric types, higher-order functionsPart 2:- The Hindley-Milner type system: syntax and syntax-directed type rules- Operational semantics: reduction of expressions, values, environments- Inference rules: type variables, substitutions, unification- Parametric let-polymorphism: generalization and instantiation of type schemesPart 3:- Introduction and implementation of the project skeleton: an ML interpreter written in F#- Representation of the AST, typing, evaluationPart 4:- Introduction to Haskell: beyond parametric polymorphism with type classes and type constraints- Outline of monadic programming in Haskell- Functional aspects in mainstream imperative languages ​​(Java, C ++, Python): lambda, callbacks, function pointers, functional objects, closures","The course includes lectures in front of the blackboard and the projector screen.In-depth study on languages ​​and coding will be carried out on the computer and visible to the students on the screen.Theoretical notions will mainly be explored on the blackboard.The course does not include assignments but optional coding exercises in F# and Haskell are offered.An ML interpreter implemented in F# is also presented, the writing of which is an integral part of the course content; completion of the interpreter is considered an optional project that can be discussed in the exam.","All computer lessons essentially consist of F# or Haskell code.This code is annotated with detailed comments by the teacher and uploaded to a publicly accessible GitHub repository, constituting study material.",,Not mentioned.
SCP7079401,SC2598,GAME THEORY,2024/25,"Second cycle degree in COMPUTER SCIENCE SC2598, Degree course structure A.Y. 2021/22, A.Y. 2024/25",Not mentioned.,6.0,Mark,GAME THEORY,Department of Mathematics,No,English,PADOVA,The Course unit can be attended under the option Single Course unit attendance,The Course unit can be chosen as Optional Course unit,The course unit can be attended by Erasmus+ and other exchange students,GIOVANNI PERIN,First semester,1st Year,face to face teaching,Lecture,6.0,48,102.0,No turn,30/09/2024,18/01/2025,https://en.didattica.unipd.it/off/2024/LM/SC/SC2598/000ZZ/SCP7079401/N0,A basic course on probability theory.,"The course involves the acquisition of the following elements of knowledge and proficiencies:- to learn and master basic and advanced theoretical concepts of game theory and to know how to solve general multi-objective multi-agent problems with game theory techniques.- to apply game theory concepts to practical scenarios of computer science and data analysis, especially for distributed multi-agent procedures leveraging computational intelligence.","A mandatory open-book written test, containing problems of game theory focusing on different topics of the course. This assigns up to 27 points and is the base mark for the final grade.Students with regular attendance to the course may additionally develop a project in groups of 1-3 students, on course-related topics. This is agreed half-way through the course together with the lecturer, who also sets the topic. The project must be delivered one month after the end of the lectures.If the written test is sufficient (greater than 15), students can finalize the exam with final grade:- without project: score of the written test + 3 points- with project: score of the written test + score of the project (which can be from 0 to 8 points)","Every question in the written exam comes with a numerical evaluation known in advance.The final score of the written exam is the numerical sum of the scores achieved in the questions, up to 27 points.Students not undertaking the project get further 3 points to reach a maximum of 30.The project awards from 0 to 8 points, which sums to the score of the written test.Honors are awarded to students with a final numerical score higher than or equal to 31.Every question in the written test will be evaluated according to:- pertinence, correctness, and completeness of the answer;- proper usage of terminology, methodology, and formal representations of game theory;- acquired attitude towards problem solving- attitude towards discussion and ex-post verification of the solution foundFor the project evaluation (if present), the following aspects will be considered:- originality of the proposal, and their pertinence with the course topics- quality of the oral exposition- attitude towards teamwork and the presence of individual contributions relatable to every single participant- attitude towards drawing meaningful conclusions from a scientific standpoint thanks to the methodologies learned during the course","Basic concepts of game theoryUtility, market, discount factorStatic games in normal formDominance, Nash equilibriumEfficiency, price of anarchyZero-sum games, minmax gamesMixed strategies, mixed equilibriaNash theorem, minmax theoremThe tragedy of the commonsDynamic gamesStrategy and subgamesBackward utilityStackelberg equilibriaRepeated games and cooperationDynamic duopolies, collusionCooperation, pricingImperfect/incomplete informationBayesian games, signaling, beliefsRevelation principleAxiomatic game theoryFictitious playBest response dynamicsDistributed optimizationAlgorithmic game theoryComputation, complexity, and completeness of equilibriaAuctions, bargainingFirst-price and second-price auctions, VCG principle (basics)Cooperative games: the core, the Shapley value (basics)Resource allocationUtilities, choices, and paradoxesPotential games, coordinationBio-inspired algorithmsEvolutionary gamesCognitive networksSelfish routingAge of informationGame-theory enabled multiple-input systems",Conventional lectures with slides/projector support.Interaction via the moodle platform.Possible usage of pre-recorded videos.,"The course follows the standard presentation in university classes of the basics of game theory. Thus, you can use Tadelis' book (complemented with material supplied in the lectures/moodle) as a reference from a general perspective, but any other introductory book would be equivalent.For exercises, the book by Badia-Marchioro is recommended, as it contains exam-like exercises.About applications. MacKenzie and DaSilva's book is a good example, even though it is not mandatory to use it and any material found on the Internet could also work.","S. Tadelis, Game Theory: An Introduction. --: Princeton, 2013.        
 

        L. Badia, T. Marchioro, Game theory. A handbook of problems and exercises. Bologna: Esculapio, 2022.        


        A. MacKenzie, L. Da Silva, Game Theory for Wireless Engineers. Morgan & Claypool: 2006, --.        


        N. Nisan, T. Roughgarden, E. Tardos, V. V. Vazirani, Algorithmic game theory. --: Cambridge Univ. Press, 2007.        
 

        R. Lucchetti, A Primer in Game Theory. Bologna: Esculapio, --.",Not mentioned.
SCP8082660,SC2598,MACHINE LEARNING,2024/25,"Second cycle degree in COMPUTER SCIENCE SC2598, Degree course structure A.Y. 2021/22, A.Y. 2024/25",Not mentioned.,6.0,Mark,MACHINE LEARNING,Department of Mathematics,No,English,PADOVA,The Course unit can be attended under the option Single Course unit attendance,The Course unit can be chosen as Optional Course unit,The course unit can be attended by Erasmus+ and other exchange students,FABIO AIOLLI,First semester,1st Year,face to face teaching,Lecture,5.0,40,85.0,No turn,30/09/2024,18/01/2025,https://en.didattica.unipd.it/off/2024/LM/SC/SC2598/000ZZ/SCP8082660/N0,The student should be familiar with basic concepts in Probability and Analysis of multivariate functions. It is also advisable to have basic knowledge of Programming and Artificial Intelligence. The course does not have prerequisites.,"The aim of the course is to introduce the student to the basic concepts that characterize Machine Learning, i.e. the class of techniques and algorithms that, starting from empirical data allow a computer system to acquire new knowledge, or to correct and/or to refine knowledge already available. These techniques are particularly useful for problems for which it is impossible or very difficult to reach a mathematical formalization usable for the definition of an ad-hoc algorithmic solution. Examples of these problems are perceptual tasks, such as visual recognition of handwritten digits, or problems in which data is corrupted by noise or is incomplete. The course mainly covers numerical methods. Students will face practical exercises in a computer lab that allow them to test the application of the acquired knowledge to small practical examples.","The student has to pass a written examination and if deemed necessary by the teacher, an oral examination. There is also a project that can be replaced by activities during the course.","The text of the written exam includes some questions that aim to assess the level of learning reached by the student concerning the concepts taught in the course and the student's ability to perform a critical analysis on them. The text also includes questions in which the student is required to show understanding of the applicative issues taught in the computer lab. These questions are designed to assess whether the student has developed the ability to apply the concepts learned during the course. If the assessment of the written exam is not satisfactory for the student, the teacher may supplement the written examination with an oral examination for a better assessment of the level of learning of the student.","The course will cover the topics listed below - Introduction: When to apply Machine Learning techniques; Machine Learning Paradigms; Basic ingredients of Machine Learning. - Learning Concepts: The complexity of the Hypothesis Space; Complexity Measures; Examples of Supervised Learning Algorithms; - Decision Trees: Learning Decision Trees; Treatment of Numerical Data, Missing Data, Costs; Pruning Techniques and Derivation of Decision Rules. - Probabilistic Learning: Bayesian Learning; Examples of Application to Supervised and Unsupervised Learning (clustering); Optimal Bayes classifier; EM. - Neural Networks and Support Vector Machines: Introduction to Neural Networks; Classification Margin, Support Vector Machines for Classification and Regression, Kernel Functions. - Application Issues: Classification Pipeline, Data Representation, and Selection of Variables; Model Selection; Clustering; Ensemble Learning; Recommender Systems.","The course consists of lectures and exercises in the computer lab. The exercises in the computer lab allow the students to experiment, under various operating scenarios, with the techniques introduced in class. In this way, students can verify experimentally the concepts learned in class and acquire the ability to apply the learned concepts and to perform critical judgment.",Slides presented during the lectures are made ​​available to students as reference material.,"Mitchell, Tom M., Machine learning. New York: McGraw-Hill, 1998.        


        Alpaydin, Ethem, Introduction to machine learning. Cambridge: The MIT press, 2010.",Not mentioned.
SCP7079402,SC2598,METHODS AND MODELS FOR COMBINATORIAL OPTIMIZATION,2024/25,"Second cycle degree in COMPUTER SCIENCE SC2598, Degree course structure A.Y. 2021/22, A.Y. 2024/25",Not mentioned.,6.0,Mark,METHODS AND MODELS FOR COMBINATORIAL OPTIMIZATION,Department of Mathematics,No,English,PADOVA,The Course unit can be attended under the option Single Course unit attendance,The Course unit can be chosen as Optional Course unit,The course unit can be attended by Erasmus+ and other exchange students,LUIGI DE GIOVANNI,First semester,1st Year,face to face teaching,Laboratory,1.5,12,25.5,No turn,30/09/2024,18/01/2025,https://en.didattica.unipd.it/off/2024/LM/SC/SC2598/000ZZ/SCP7079402/N0,"Basic notions of Operations Research, Linear Programming, and computer programming.",Use of decision support quantitative methods for modelling and solving combinatorial optimization problems. Application of mathematical and algorithmic tools for solving optimization problems of practical relevance by means of software packages and optimization libraries.,Oral examination about course contents and homework on the application of optimization methods to solve realistic problems. Each student may chose to present a short project concerning a case study about models and exact/heuristic solution methods for a realistic application of combinatorial optimization.,The examination evaluates to what extent the student has learned the notions presented and her/his ability to apply them to the solution of practical combinatorial optimization problems.,"1. Review of linear programming and duality and advanced topics with applications: primal-dual simplex, column generation, applications to network optimization.2. Advanced methods for Integer Linear Programming (ILP): Branch & Bound and relaxation techniques, alternative ILP formulations,cutting planes method and Branch & Cut, application to relevant examples (Traveling Salesman Problem, location, network design etc.).3. Meta-heuristics for combinatorial optimization: local search based, evolutionary algorithms, data-driven methods (integration of Data Science and Machine Learning techniques).4. Application of graph modeling and optimization.5. Labs: optimization software packages and libraries.","Classes. Labs. Discussion about case studies. Students will also be asked to do homeworks or individual/group projects and report on them. During labs, some basic optimization algorithms will be implemented, both exact (using integer programming libraries) and heuristic ones.",Lecture notes provided by the teacher. Articles from scientific journals.,,Not mentioned.
